Top 5000000 payment_date,Top 500000000 cleared_at,provider_id,Top 500000 provider.name,Top 500000 geo.state,Top 500000 geo.zipcode,Top 500000 geo.city,Count
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,CA,93923,CARMEL,1
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,KY,40220,LOUISVILLE,1
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,NC,27295,LEXINGTON,1
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,WA,98002,AUBURN,1
1.47934E+12,1.47934E+12,219500,Tidewater Finance Company - Motor Credit,CA,92882,CORONA,1
1.47934E+12,1.47934E+12,219500,Tidewater Finance Company - Motor Credit,OH,44130,CLEVELAND,1
1.47934E+12,1.47934E+12,219500,Tidewater Finance Company - Motor Credit,TX,78634,HUTTO,1
1.47934E+12,1.47942E+12,22014,Barry Electric Cooperative,MO,65647,EXETER,1
1.47934E+12,1.47942E+12,22014,Barry Electric Cooperative,MO,65745,SELIGMAN,1
1.47934E+12,1.47942E+12,22014,Barry Electric Cooperative,MO,65747,SHELL KNOB,1
1.47934E+12,1.47942E+12,29243,Barrontown Water Association (MS),MS,39465,PETAL,1
1.47934E+12,1.47942E+12,51957,Baton Rouge Water Company,LA,70817,BATON ROUGE,1
1.47934E+12,1.47942E+12,131756,BCI Financial Corporation,CT,6776,NEW MILFORD,1
1.47934E+12,1.47951E+12,78609,TxTag,TX,76708,WACO,1
1.47934E+12,1.47951E+12,78609,TxTag,TX,77008,HOUSTON,1
1.47934E+12,1.47951E+12,78609,TxTag,TX,77036,HOUSTON,1
1.47934E+12,1.47951E+12,78609,TxTag,TX,77327,CLEVELAND,1
1.47934E+12,1.47951E+12,78609,TxTag,TX,79323,DENVER CITY,1
1.47934E+12,1.47951E+12,78609,TxTag,TX,79924,EL PASO,1
1.47934E+12,1.47934E+12,20509,Houston County Electric Cooperative,TX,75845,GROVETON,1
1.47934E+12,1.47934E+12,20509,Houston County Electric Cooperative,TX,75926,APPLE SPRINGS,1
1.47934E+12,1.47934E+12,20509,Houston County Electric Cooperative,TX,77388,SPRING,1
1.47934E+12,1.47934E+12,20509,Houston County Electric Cooperative,TX,77845,COLLEGE STATION,1
1.47934E+12,1.47934E+12,11524,Illinois American Water,IL,61873,SAINT JOSEPH,1
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,CA,94806,SAN PABLO,1
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,FL,33312,FORT LAUDERDALE,1
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,GA,30147,LINDALE,1
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,IN,47404,BLOOMINGTON,1
1.47934E+12,1.47934E+12,219501,Tidewater Finance Company - Credit Services,NM,87043,PLACITAS,1
1.47934E+12,1.47942E+12,21232,Bethesda Water Supply Corporation (TX),TX,76028,BURLESON,3
1.47934E+12,1.47942E+12,19955,Berea Municipal Utilities (KY),KY,40403,BEREA,1
1.47934E+12,1.47942E+12,22101,Beckley Sanitary Board,WV,25801,BECKLEY,1
1.47934E+12,1.47942E+12,19934,City of Avon Park Utilities (FL),FL,33825,AVON PARK,1
1.47934E+12,1.47942E+12,22161,City of Bentonville (AR),AR,72712,BENTONVILLE,1
1.47934E+12,1.47942E+12,47668,City Of Ruston (LA),LA,71270,RUSTON,1
1.47934E+12,1.47942E+12,48463,"City Of Sterling Heights, Mi (MI)",MI,48310,STERLING HEIGHTS,1
1.47934E+12,1.47942E+12,53746,City of Abilene Water Utility (TX),TX,79605,ABILENE,1
1.47934E+12,1.47942E+12,42662,City of Winter Haven (FL),FL,33880,WINTER HAVEN,1
1.47934E+12,1.47942E+12,42662,City of Winter Haven (FL),FL,33881,WINTER HAVEN,1
1.47934E+12,1.47942E+12,28561,City of Zanesville Utilities (OH),OH,43701,ZANESVILLE,1
1.47934E+12,1.47942E+12,50269,City of Weslaco (TX),TX,78582,RIO GRANDE CITY,1
1.47934E+12,1.47942E+12,50541,Claywood Park Psd,WV,26143,ELIZABETH,1
1.47934E+12,1.47942E+12,80590,Stoneberry,AL,36093,WETUMPKA,1
1.47934E+12,1.47942E+12,80590,Stoneberry,CT,6512,EAST HAVEN,1
1.47934E+12,1.47942E+12,80590,Stoneberry,MA,2122,DORCHESTER,1
1.47934E+12,1.47942E+12,80590,Stoneberry,MO,65713,NIANGUA,1
1.47934E+12,1.47942E+12,80590,Stoneberry,OH,44903,MANSFIELD,1
1.47934E+12,1.47942E+12,52089,Topeka Water - City of Topeka (KS),KS,66614,TOPEKA,1
1.47934E+12,1.47942E+12,52089,Topeka Water - City of Topeka (KS),KS,66617,TOPEKA,1
1.47934E+12,1.47942E+12,29432,Town Of Jacksboro (TN),TN,37757,JACKSBORO,1
1.47934E+12,1.47942E+12,48705,Town of Tarboro (NC),NC,27886,TARBORO,1
1.47934E+12,1.47942E+12,57059,Torrington Water Company,CT,6790,TORRINGTON,1
1.47934E+12,1.47942E+12,21345,Wilkinsburg-Penn Joint Water Authority,PA,15104,BRADDOCK,1
1.47934E+12,1.47942E+12,21345,Wilkinsburg-Penn Joint Water Authority,PA,15112,EAST PITTSBURGH,1
1.47934E+12,1.47942E+12,21345,Wilkinsburg-Penn Joint Water Authority,PA,15137,NORTH VERSAILLES,1
1.47934E+12,1.47942E+12,21345,Wilkinsburg-Penn Joint Water Authority,PA,15221,PITTSBURGH,1
1.47934E+12,1.47942E+12,21345,Wilkinsburg-Penn Joint Water Authority,PA,15235,PITTSBURGH,1
1.47934E+12,1.4796E+12,3016,DeKalb County Department of Watershed Management,GA,30038,LITHONIA,2
1.47934E+12,1.4796E+12,3016,DeKalb County Department of Watershed Management,GA,30058,LITHONIA,2
1.47934E+12,1.4796E+12,3016,DeKalb County Department of Watershed Management,GA,30083,STONE MOUNTAIN,1
1.47934E+12,1.4796E+12,3604,Kenosha Water Utility,WI,53142,KENOSHA,1
1.47934E+12,1.4796E+12,3604,Kenosha Water Utility,WI,53143,KENOSHA,1
1.47934E+12,1.4796E+12,12538,MDC,CT,6106,HARTFORD,1
1.47934E+12,1.4796E+12,42003,Marin Sanitary Service,CA,94960,SAN ANSELMO,1
1.47934E+12,1.4796E+12,79507,Klamath County Tax Collector,OR,97632,MALIN,1
1.47934E+12,1.4796E+12,78700,OneMain Financial,FL,32784,UMATILLA,1
1.47934E+12,1.4796E+12,78700,OneMain Financial,GA,30179,TEMPLE,1
1.47934E+12,1.4796E+12,78700,OneMain Financial,KS,66502,MANHATTAN,1
1.47934E+12,1.4796E+12,78700,OneMain Financial,MD,21239,BALTIMORE,1
1.47934E+12,1.4796E+12,78700,OneMain Financial,PA,15716,BLACK LICK,1
1.47934E+12,1.4796E+12,80590,Stoneberry,MI,48185,WESTLAND,1
1.47934E+12,1.4796E+12,80590,Stoneberry,MI,49444,MUSKEGON,1
1.47934E+12,1.4796E+12,7582,SunPass,FL,33130,MIAMI,1
